Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
R Dhawan (INDIA),2016-2016,1,1,1,1,1*,-,2,50.00,0,0,0,0,0,
Dhiman Ghosh (BDESH),2008-2008,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
HH Dippenaar (SA),2006-2006,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,
B Dugic (SRB),2019-2019,2,1,0,1,1,1.00,4,25.00,0,0,0,0,0,
GDR Eranga (CAN),2019-2019,9,1,0,1,1,1.00,1,100.00,0,0,0,0,0,
AC Evans (SCOT),2015-2019,27,6,1,1,1*,0.20,10,10.00,0,0,5,0,0,
LH Ferguson (NZ),2017-2021,13,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
MD Garratt (GIBR),2019-2019,4,2,1,1,1,1.00,5,20.00,0,0,0,0,0,
A Gavde (Caym),2019-2019,1,1,0,1,1,1.00,6,16.66,0,0,0,0,0,
O Goker (TKY),2019-2019,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,
Hashmatullah Shahidi (AFG),2013-2021,4,2,2,1,1*,-,1,100.00,0,0,0,0,0,
GM Hyde (Blz),2019-2019,3,1,0,1,1,1.00,6,16.66,0,0,0,0,0,
Imran Yousaf (Saudi),2020-2020,2,1,1,1,1*,-,2,50.00,0,0,0,0,0,
JS Jesani (KENYA),2007-2007,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,
MBS Jonkman (NL),2010-2010,3,1,0,1,1,1.00,8,12.50,0,0,0,0,0,
B Khumalo (Botsw),2019-2019,3,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
GE Kidd (IRE),2010-2010,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,
DS Kulkarni (INDIA),2016-2016,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,
A Lagos (GRC),2019-2019,1,1,1,1,1*,-,4,25.00,0,0,0,0,0,
J Lewis (ENG),2005-2007,2,2,1,1,1,1.00,4,25.00,0,0,0,0,0,
C Liebenberg (IOM),2020-2020,1,1,0,1,1,1.00,1,100.00,0,0,0,0,0,
J Louw (SA),2008-2009,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,
R Mahajan (PHI),2019-2019,3,1,1,1,1*,-,1,100.00,0,0,0,0,0,
SI Mahmood (ENG),2006-2009,4,2,2,1,1*,-,2,50.00,0,0,0,0,0,
RD McCann (IRE),2012-2012,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
NSK Mehta (Belg),2020-2021,9,2,0,1,1,0.50,3,33.33,0,0,1,0,0,
S Mills (IOM),2020-2020,1,1,1,1,1*,-,3,33.33,0,0,0,0,0,
MR Montfort (CAN),2019-2019,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,
Muhammed Shanil (UAE),2016-2016,1,1,1,1,1*,-,3,33.33,0,0,0,0,0,
M Muralitharan (SL),2006-2010,12,2,0,1,1,0.50,5,20.00,0,0,1,0,0,
M Nasim Baras (AFG),2015-2015,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
A Nathwani (Aut),2019-2021,7,1,1,1,1*,-,1,100.00,0,0,0,0,0,
R Neale (LUX),2019-2019,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0,
R Ngarava (ZIM),2019-2021,10,3,2,1,1*,1.00,3,33.33,0,0,1,0,0,
ML Nkala (ZIM),2006-2006,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
MS Panesar (ENG),2007-2007,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
SD Parry (ENG),2014-2015,5,1,0,1,1,1.00,1,100.00,0,0,0,0,0,
MDK Perera (SL),2011-2011,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0,
J Perman (ESP),2019-2020,4,1,0,1,1,1.00,6,16.66,0,0,0,0,0,
DBL Powell (WI),2007-2007,5,1,1,1,1*,-,1,100.00,0,0,0,0,0,
EC Rainsford (ZIM),2010-2010,2,1,1,1,1*,-,2,50.00,0,0,0,0,0,
KB Ratilal (PNM),2019-2019,3,1,1,1,1*,-,2,50.00,0,0,0,0,0,
EB Ringera (KENYA),2019-2019,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
WJR Robertson (JER),2019-2019,6,2,2,1,1*,-,2,50.00,0,0,0,0,0,
BA Sambo (Moz),2019-2019,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,
O Sam Arthur (CRC),2019-2019,3,2,1,1,1,1.00,1,100.00,0,0,0,0,0,
Sandeep Sharma (INDIA),2015-2015,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,
Sayed Shirzad (AFG),2015-2019,4,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
ZK Shem (VAN),2019-2019,5,2,2,1,1*,-,4,25.00,0,0,0,0,0,
PM Siddle (AUS),2009-2010,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,
KM Silva (),2019-2019,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0,
Sohail Khan (PAK),2008-2017,5,1,1,1,1*,-,1,100.00,0,0,0,0,0,
Sohrawordi Shuvo (BDESH),2010-2010,1,1,1,1,1*,-,3,33.33,0,0,0,0,0,
AL Stephen (VAN),2019-2019,2,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
EP Thompson (NZ),2008-2008,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,
RJW Topley (ENG),2015-2016,6,1,1,1,1*,-,2,50.00,0,0,0,0,0,
TE Tucker (BMUDA),2008-2008,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,
T Turan (TKY),2019-2019,4,4,0,1,1,0.25,17,5.88,0,0,3,0,0,
R van der Merwe (Arg),2019-2019,5,2,2,1,1*,-,1,100.00,0,0,0,0,0,
S Veerapathiran (BHR),2020-2020,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
I Wardlaw (SCOT),2013-2013,4,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
Wasim Ali (OMAN),2019-2020,3,2,1,1,1,1.00,6,16.66,0,0,0,0,0,
G Wijekoon (SL),2007-2007,3,2,1,1,1*,1.00,5,20.00,0,0,1,0,0,
JD Wildermuth (AUS),2018-2018,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,
Yamin Ahmadzai (AFG),2015-2015,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,
Zaki Ul Hassan (Belg),2019-2019,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
Zeeshan Abbas (BHR),2019-2019,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0,
AS Abioye (NGA),2019-2019,5,1,1,0,0*,-,0,-,0,0,0,0,0,
Aizaz Cheema (PAK),2011-2012,5,1,1,0,0*,-,3,0.00,0,0,0,0,0,
C Akyuz (TKY),2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
Ali Naqi (PORT),2019-2019,4,1,1,0,0*,-,0,-,0,0,0,0,0,
MA Aponso (SL),2018-2018,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
S Arachchige (ITA),2019-2019,4,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
Arshad Iqbal (PAK),2021-2021,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
Aswad Khan (BUL),2021-2021,3,1,0,0,0,0.00,0,-,0,0,1,0,0,
SK Atai (PNG),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
MS Aulakh (CAN),2012-2013,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
CT Bancroft (AUS),2016-2016,1,1,1,0,0*,-,0,-,0,0,0,0,0,
IDR Bradshaw (WI),2006-2006,1,1,1,0,0*,-,0,-,0,0,0,0,0,
DR Briggs (ENG),2012-2014,7,1,1,0,0*,-,0,-,0,0,0,0,0,
AF Buurman (NL),2010-2010,4,2,0,0,0,0.00,4,0.00,0,0,2,0,0,
PP Chawla (INDIA),2010-2012,7,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
DO Christian (WI),2011-2011,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
I Civric (SRB),2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
S Dalton (CZK-R),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
N Dipakkumar Patel (PNM),2019-2019,3,1,0,0,0,0.00,0,-,0,0,1,0,0,
JN Dorji (BHU),2019-2019,1,1,0,0,0,0.00,0,-,0,0,1,0,0,
A Dutt (NL),2021-2021,4,1,0,0,0,0.00,3,0.00,0,0,1,0,0,
Ehsan Nawaz (HKG),2014-2017,5,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
Fakhrul Mohon (PORT),2019-2019,4,1,0,0,0,0.00,0,-,0,0,1,0,0,
Fiaz Ahmad (KUW),2019-2019,3,1,1,0,0*,-,0,-,0,0,0,0,0,
