Ball_No,Batsman_Name,Batting_Style,Bowling_Type,Bowling_Side_of_Stumps,Ball_Pitching,Ball_Line,Ball_Length,Ball_Turn_Angle,Ball_Middled,Ball_Missed,Ball_Edged,Ball_Left,Shot_Aggressive,Shot_Attacking,Shot_Defensive,Shot_Type,Shot_Timing,Batsman_Head_Position,Batsman_Footwork
78,Red,LHB,Spin,Round,Outside Leg Stump,Outside Leg Stump,Yorker,3,1,0,0,0,1,0,0,FrontFoot On Drive,1,1,1
79,Orange1,RHB,Pace,Over,Outside Off Stump,Middle Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
80,Orange1,RHB,Pace,Round,Leg Stump,Outside Leg Stump,Yorker,NA,0,0,1,0,0,0,0,None,0,0,1
81,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,1,0,0,0,1,0,0,Square Cut,1,1,1
82,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,0,0,0,1,0,0,1,None,1,1,1
83,Orange1,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Full,4,0,1,0,0,0,0,0,None,0,0,0
84,Orange1,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,45,0,1,0,0,0,0,0,None,0,0,0
85,Orange1,RHB,Spin,Over,Outside Off Stump,Off Stump,Full,15,1,0,0,0,1,0,0,FrontFoot Off Drive,1,1,1
86,Orange1,RHB,Pace,Over,Outside Off Stump,Off Stump,Full,NA,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
87,Orange1,RHB,Pace,Round,Leg Stump,Leg Stump,Full,NA,0,0,0,0,0,0,1,FrontFoot Defence,0,1,1
88,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,0,1,0,0,0,0,0,None,0,0,0
89,Blue1,LHB,Pace,Round,Outside Leg Stump,Outside Leg Stump,Full,NA,0,0,0,1,0,0,1,None,1,1,1
90,Blue1,LHB,Pace,Over,Outside Leg Stump,Outside Leg Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
91,Blue1,LHB,Pace,Round,Off Stump,Outside Leg Stump,Good,NA,1,0,0,0,1,0,0,BackFoot Flick,1,1,1
92,Blue1,LHB,Spin,Round,Outside Off Stump,Outside Off Stump,Full,28,1,0,0,0,0,1,0,BackFoot Pull,1,0,0
93,Blue1,LHB,Spin,Over,Off Stump,Leg Stump,Full,32,0,1,0,0,0,0,0,None,0,0,0
94,Blue1,LHB,Spin,Round,Leg Stump,Outside Leg Stump,Yorker,0,1,0,0,0,0,0,1,None,1,0,0
95,Blue1,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,1,None,0,0,0
96,Blue1,LHB,Pace,Over,Outside Leg Stump,Off Stump,Full,NA,0,1,0,0,0,0,1,None,0,0,0
97,Blue1,LHB,Pace,Round,Outside Off Stump,Off Stump,Good,NA,0,0,1,0,1,0,0,None,0,0,0
98,Blue1,LHB,Pace,Round,Outside Leg Stump,Outside Leg Stump,Full,NA,1,0,0,0,0,1,0,BackFoot Flick,1,1,1
99,Blue1,LHB,Spin,Round,Off Stump,Outside Off Stump,Full,14,0,1,0,0,0,0,1,None,0,0,0
100,Blue1,LHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,1,0,Sweep,1,1,1
101,Blue1,LHB,Pace,Round,Off Stump,Off Stump,Full,NA,1,0,0,0,1,0,0,FrontFoot Off Drive,1,1,1
102,Maroon,RHB,Pace,Over,Outside Off Stump,Off Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
103,Maroon,RHB,Pace,Round,Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,FrontFoot Straight Drive,1,1,1
104,Maroon,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,0,0,1,0,0,1,None,1,1,1
105,Maroon,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,1,1
106,Maroon,RHB,Spin,Over,Off Stump,Outside Off Stump,Full,15,0,1,0,0,0,0,0,None,0,0,0
107,Maroon,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
108,Maroon,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Yorker,NA,1,0,0,0,0,1,0,FrontFoot On Drive,1,0,1
109,Maroon,RHB,Pace,Over,Outside Leg Stump,Outside Leg Stump,Yorker,NA,0,1,0,0,0,0,0,None,0,0,0
110,Maroon,RHB,Pace,Over,Off Stump,Leg Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
111,Maroon,RHB,Pace,Over,Outside Off Stump,Off Stump,Good,NA,1,0,0,0,1,0,0,BackFoot On Drive,1,1,1
112,Maroon,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,0,0,0,1,0,0,1,None,1,1,1
113,Maroon,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,1,0,0,0,1,0,0,Square Cut,1,1,1
114,Maroon,RHB,Spin,Over,Middle Stump,Outside Leg Stump,Full,0,1,0,0,0,0,1,0,FrontFoot On Drive,1,1,1
115,Maroon,RHB,Spin,Over,NA,Outside Off Stump,Full Toss,0,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
116,Maroon,RHB,Pace,Over,Outside Off Stump,Middle Stump,Yorker,NA,1,0,0,0,0,1,0,FrontFoot On Drive,1,1,1
117,Blue1,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Yorker,NA,1,0,0,0,1,0,0,FrontFoot Off Drive,1,1,1
118,Blue1,LHB,Pace,Over,Outside Leg Stump,Off Stump,Good,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
119,Blue1,LHB,Pace,Over,Outside Off Stump,Off Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
120,Blue1,LHB,Pace,Over,Middle Stump,Outside Off Stump,Full,NA,0,0,0,1,0,0,1,None,1,1,1
